xyzdmxyzcountry,xyzdmxyzrequestyear,xyzdmxyzinterpolation,xyzdcxyzwelfaretype,xyzdcxyzcoverage,xyzdcxyzgender,xyzdcxyzagegroup,xyzdcxyzeducation,xyzdcxyzdistribution,xyzdpxyzsi_pov_share_all,xyzdcxyzpppyear
ARG,2007,FALSE,INC,U,,,,T60,.6005137,2017
ARG,2008,FALSE,INC,,,,No education,B40,.5458935,2017
ARG,2008,FALSE,INC,,,,No education,T60,.4541064,2017
ARG,2008,FALSE,INC,,,,Primary education,B40,.4508893,2017
ARG,2008,FALSE,INC,,,,Primary education,T60,.5491107,2017
ARG,2008,FALSE,INC,,,,Secondary education,B40,.3690165,2017
ARG,2008,FALSE,INC,,,,Secondary education,T60,.6309835,2017
ARG,2008,FALSE,INC,,,,Tertiary education,B40,.1337982,2017
ARG,2008,FALSE,INC,,,,Tertiary education,T60,.8662018,2017
ARG,2008,FALSE,INC,,,0-14,,B40,.5993705,2017
ARG,2008,FALSE,INC,,,0-14,,T60,.4006295,2017
ARG,2008,FALSE,INC,,,15-64,,B40,.3626359,2017
ARG,2008,FALSE,INC,,,15-64,,T60,.6373641,2017
ARG,2008,FALSE,INC,,,>65,,B40,.1567096,2017
ARG,2008,FALSE,INC,,,>65,,T60,.8432904,2017
ARG,2008,FALSE,INC,,Female,,,B40,.4008059,2017
ARG,2008,FALSE,INC,,Female,,,T60,.5991941,2017
ARG,2008,FALSE,INC,,Male,,,B40,.3980422,2017
ARG,2008,FALSE,INC,,Male,,,T60,.6019578,2017
ARG,2008,FALSE,INC,U,,,,B40,.3994798,2017
ARG,2008,FALSE,INC,U,,,,T60,.6005202,2017
ARG,2009,FALSE,INC,,,,No education,B40,.522266,2017
ARG,2009,FALSE,INC,,,,No education,T60,.477734,2017
ARG,2009,FALSE,INC,,,,Primary education,B40,.4428622,2017
ARG,2009,FALSE,INC,,,,Primary education,T60,.5571378,2017
ARG,2009,FALSE,INC,,,,Secondary education,B40,.3786307,2017
ARG,2009,FALSE,INC,,,,Secondary education,T60,.6213693,2017
ARG,2009,FALSE,INC,,,,Tertiary education,B40,.141585,2017
ARG,2009,FALSE,INC,,,,Tertiary education,T60,.858415,2017
ARG,2009,FALSE,INC,,,0-14,,B40,.5995781,2017
ARG,2009,FALSE,INC,,,0-14,,T60,.4004219,2017
ARG,2009,FALSE,INC,,,15-64,,B40,.3680364,2017
ARG,2009,FALSE,INC,,,15-64,,T60,.6319636,2017
ARG,2009,FALSE,INC,,,>65,,B40,.1412905,2017
ARG,2009,FALSE,INC,,,>65,,T60,.8587095,2017
ARG,2009,FALSE,INC,,Female,,,B40,.4024894,2017
ARG,2009,FALSE,INC,,Female,,,T60,.5975106,2017
ARG,2009,FALSE,INC,,Male,,,B40,.3963029,2017
ARG,2009,FALSE,INC,,Male,,,T60,.6036971,2017
ARG,2009,FALSE,INC,U,,,,B40,.3995214,2017
ARG,2009,FALSE,INC,U,,,,T60,.6004786,2017
ARG,2010,FALSE,INC,,,,No education,B40,.5209947,2017
ARG,2010,FALSE,INC,,,,No education,T60,.4790053,2017
ARG,2010,FALSE,INC,,,,Primary education,B40,.4384448,2017
ARG,2010,FALSE,INC,,,,Primary education,T60,.5615552,2017
ARG,2010,FALSE,INC,,,,Secondary education,B40,.3826557,2017
ARG,2010,FALSE,INC,,,,Secondary education,T60,.6173443,2017
ARG,2010,FALSE,INC,,,,Tertiary education,B40,.1501172,2017
ARG,2010,FALSE,INC,,,,Tertiary education,T60,.8498828,2017
ARG,2010,FALSE,INC,,,0-14,,B40,.5953156,2017
ARG,2010,FALSE,INC,,,0-14,,T60,.4046844,2017
ARG,2010,FALSE,INC,,,15-64,,B40,.3688105,2017
ARG,2010,FALSE,INC,,,15-64,,T60,.6311895,2017
ARG,2010,FALSE,INC,,,>65,,B40,.1512162,2017
ARG,2010,FALSE,INC,,,>65,,T60,.8487838,2017
ARG,2010,FALSE,INC,,Female,,,B40,.3969596,2017
ARG,2010,FALSE,INC,,Female,,,T60,.6030405,2017
ARG,2010,FALSE,INC,,Male,,,B40,.4018646,2017
ARG,2010,FALSE,INC,,Male,,,T60,.5981354,2017
ARG,2010,FALSE,INC,U,,,,B40,.3993102,2017
ARG,2010,FALSE,INC,U,,,,T60,.6006898,2017
ARG,2011,FALSE,INC,,,,No education,B40,.5136024,2017
ARG,2011,FALSE,INC,,,,No education,T60,.4863976,2017
ARG,2011,FALSE,INC,,,,Primary education,B40,.4332586,2017
ARG,2011,FALSE,INC,,,,Primary education,T60,.5667414,2017
ARG,2011,FALSE,INC,,,,Secondary education,B40,.3882031,2017
ARG,2011,FALSE,INC,,,,Secondary education,T60,.6117969,2017
ARG,2011,FALSE,INC,,,,Tertiary education,B40,.1560079,2017
ARG,2011,FALSE,INC,,,,Tertiary education,T60,.8439922,2017
ARG,2011,FALSE,INC,,,0-14,,B40,.5960667,2017
ARG,2011,FALSE,INC,,,0-14,,T60,.4039333,2017
ARG,2011,FALSE,INC,,,15-64,,B40,.3708775,2017
ARG,2011,FALSE,INC,,,15-64,,T60,.6291225,2017
ARG,2011,FALSE,INC,,,>65,,B40,.1360833,2017
ARG,2011,FALSE,INC,,,>65,,T60,.8639167,2017
ARG,2011,FALSE,INC,,Female,,,B40,.3999555,2017
ARG,2011,FALSE,INC,,Female,,,T60,.6000445,2017
ARG,2011,FALSE,INC,,Male,,,B40,.3988526,2017
