xyzDMxyzCountry,xyzDMxyzYearRange,xyzDMxyzInterpolation,xyzDCxyzWelfareType,xyzDCxyzDistribution,xyzDPxyzSI_SPR_PCAP_ZG,xyzDCxyzPPPYear,xyzDMxyzCoverage
BFA,2018-2021,FALSE,CONS,b40,3.173823,2017,N
BFA,2018-2021,FALSE,CONS,tot,-1.100506,2017,N
BFA,2018-2021,FALSE,CONS,m50,2.5203,2017,N
BFA,2018-2021,FALSE,CONS,premium,4.274328,2017,N
BGD,2005-2010,FALSE,CONS,b40,1.730615,2017,N
BGD,2005-2010,FALSE,CONS,tot,1.368924,2017,N
BGD,2005-2010,FALSE,CONS,m50,1.849886,2017,N
BGD,2005-2010,FALSE,CONS,premium,.361691,2017,N
BGD,2010-2016,FALSE,CONS,b40,1.349041,2017,N
BGD,2010-2016,FALSE,CONS,tot,1.53915,2017,N
BGD,2010-2016,FALSE,CONS,m50,1.652215,2017,N
BGD,2010-2016,FALSE,CONS,premium,-.1901096,2017,N
BGR,2007-2011,FALSE,INC,b40,1.395262,2017,N
BGR,2007-2011,FALSE,INC,tot,.4500076,2017,N
BGR,2007-2011,FALSE,INC,m50,1.740247,2017,N
BGR,2007-2011,FALSE,INC,premium,.9452547,2017,N
BGR,2007-2012,FALSE,INC,b40,1.290483,2017,N
BGR,2007-2012,FALSE,INC,tot,1.368436,2017,N
BGR,2007-2012,FALSE,INC,m50,1.781829,2017,N
BGR,2007-2012,FALSE,INC,premium,-.0779525,2017,N
BGR,2009-2014,FALSE,INC,b40,.434966,2017,N
BGR,2009-2014,FALSE,INC,tot,2.112653,2017,N
BGR,2009-2014,FALSE,INC,m50,1.037212,2017,N
BGR,2009-2014,FALSE,INC,premium,-1.677687,2017,N
BGR,2015-2018,FALSE,INC,b40,10.36852,2017,N
BGR,2015-2018,FALSE,INC,tot,11.30478,2017,N
BGR,2015-2018,FALSE,INC,m50,8.242574,2017,N
BGR,2015-2018,FALSE,INC,premium,-.9362583,2017,N
