xyzdmxyzcountry,xyzdmxyzyearrange,xyzdmxyzinterpolation,xyzdcxyzwelfaretype,xyzdcxyzdistribution,xyzdpxyzsi_spr_pcap_zg,xyzdcxyzpppyear,xyzdmxyzcoverage,survey_coverage
ARM,2011-2016,FALSE,CONS,m50,4.521261,2021,N,N
ARM,2011-2016,FALSE,CONS,premium,-2.228209,2017,N,N
ARM,2011-2016,FALSE,CONS,tot,4.466616,2021,N,N
ARM,2011-2016,FALSE,CONS,b40,2.238402,2021,N,N
ARM,2011-2016,FALSE,CONS,premium,-2.228214,2021,N,N
ARM,2012-2017,FALSE,CONS,b40,1.795041,2021,N,N
ARM,2012-2017,FALSE,CONS,tot,3.163778,2017,N,N
ARM,2012-2017,FALSE,CONS,b40,1.795044,2017,N,N
ARM,2012-2017,FALSE,CONS,m50,1.806714,2021,N,N
ARM,2012-2017,FALSE,CONS,m50,1.806711,2017,N,N
ARM,2012-2017,FALSE,CONS,tot,3.163775,2021,N,N
ARM,2012-2017,FALSE,CONS,premium,-1.368734,2017,N,N
ARM,2012-2017,FALSE,CONS,premium,-1.368734,2021,N,N
ARM,2013-2018,FALSE,CONS,tot,2.399785,2017,N,N
ARM,2013-2018,FALSE,CONS,m50,1.004837,2017,N,N
ARM,2013-2018,FALSE,CONS,b40,1.262774,2017,N,N
ARM,2013-2018,FALSE,CONS,tot,2.399782,2021,N,N
ARM,2013-2018,FALSE,CONS,b40,1.262779,2021,N,N
ARM,2013-2018,FALSE,CONS,premium,-1.137003,2021,N,N
ARM,2013-2018,FALSE,CONS,m50,1.00484,2021,N,N
ARM,2013-2018,FALSE,CONS,premium,-1.13701,2017,N,N
ARM,2019-2024,FALSE,CONS,tot,1.53039,2017,N,N
ARM,2019-2024,FALSE,CONS,m50,2.060043,2017,N,N
ARM,2019-2024,FALSE,CONS,tot,1.530389,2021,N,N
ARM,2019-2024,FALSE,CONS,b40,2.689463,2017,N,N
ARM,2019-2024,FALSE,CONS,b40,2.689463,2021,N,N
ARM,2019-2024,FALSE,CONS,premium,1.159074,2021,N,N
ARM,2019-2024,FALSE,CONS,m50,2.060047,2021,N,N
ARM,2019-2024,FALSE,CONS,premium,1.159074,2017,N,N
AUS,2014-2018,FALSE,INC,m50,.3702087,2021,N,N
AUS,2014-2018,FALSE,INC,b40,-.4886754,2021,N,N
AUS,2014-2018,FALSE,INC,premium,-.2264366,2021,N,N
AUS,2014-2018,FALSE,INC,tot,-.2622393,2017,N,N
AUS,2014-2018,FALSE,INC,m50,.3702084,2017,N,N
AUS,2014-2018,FALSE,INC,premium,-.2264352,2017,N,N
AUS,2014-2018,FALSE,INC,tot,-.2622388,2021,N,N
AUS,2014-2018,FALSE,INC,b40,-.4886745,2017,N,N
AUT,2007-2012,FALSE,INC,premium,-.0104918,2021,N,N
AUT,2007-2012,FALSE,INC,premium,-.0104815,2017,N,N
AUT,2007-2012,FALSE,INC,tot,.3912269,2017,N,N
AUT,2007-2012,FALSE,INC,m50,.625096,2021,N,N
AUT,2007-2012,FALSE,INC,tot,.391226,2021,N,N
AUT,2007-2012,FALSE,INC,m50,.6250962,2017,N,N
AUT,2007-2012,FALSE,INC,b40,.3807454,2017,N,N
AUT,2007-2012,FALSE,INC,b40,.3807343,2021,N,N
AUT,2009-2014,FALSE,INC,m50,.1767246,2017,N,N
AUT,2009-2014,FALSE,INC,b40,.473082,2021,N,N
AUT,2009-2014,FALSE,INC,b40,.4730249,2017,N,N
AUT,2009-2014,FALSE,INC,tot,.0058335,2021,N,N
AUT,2009-2014,FALSE,INC,m50,.1767232,2021,N,N
AUT,2009-2014,FALSE,INC,premium,.4672044,2017,N,N
AUT,2009-2014,FALSE,INC,premium,.4672486,2021,N,N
AUT,2009-2014,FALSE,INC,tot,.0058205,2017,N,N
AUT,2010-2015,FALSE,INC,premium,-.1650133,2017,N,N
AUT,2010-2015,FALSE,INC,tot,-.2696905,2017,N,N
AUT,2010-2015,FALSE,INC,tot,-.2697039,2021,N,N
AUT,2010-2015,FALSE,INC,premium,-.1650714,2021,N,N
AUT,2010-2015,FALSE,INC,m50,.0068553,2021,N,N
AUT,2010-2015,FALSE,INC,m50,.0068543,2017,N,N
AUT,2010-2015,FALSE,INC,b40,-.4347753,2021,N,N
AUT,2010-2015,FALSE,INC,b40,-.4347038,2017,N,N
AUT,2012-2017,FALSE,INC,premium,.2363459,2017,N,N
AUT,2012-2017,FALSE,INC,m50,1.592152,2021,N,N
AUT,2012-2017,FALSE,INC,tot,1.194596,2021,N,N
AUT,2012-2017,FALSE,INC,b40,1.430936,2017,N,N
AUT,2012-2017,FALSE,INC,m50,1.592152,2017,N,N
AUT,2012-2017,FALSE,INC,premium,.2363687,2021,N,N
AUT,2012-2017,FALSE,INC,b40,1.430964,2021,N,N
AUT,2012-2017,FALSE,INC,tot,1.19459,2017,N,N
AUT,2013-2018,FALSE,INC,premium,-.2952136,2017,N,N
AUT,2013-2018,FALSE,INC,b40,.1452482,2017,N,N
AUT,2013-2018,FALSE,INC,tot,.4404487,2021,N,N
AUT,2013-2018,FALSE,INC,premium,-.2952752,2021,N,N
AUT,2013-2018,FALSE,INC,m50,.7437051,2021,N,N
AUT,2013-2018,FALSE,INC,b40,.1451735,2021,N,N
AUT,2013-2018,FALSE,INC,m50,.7437062,2017,N,N
AUT,2013-2018,FALSE,INC,tot,.4404619,2017,N,N
AUT,2014-2019,FALSE,INC,premium,-.0193238,2017,N,N
AUT,2014-2019,FALSE,INC,b40,1.13456,2017,N,N
AUT,2014-2019,FALSE,INC,tot,1.153874,2021,N,N
AUT,2014-2019,FALSE,INC,m50,1.142062,2017,N,N
AUT,2014-2019,FALSE,INC,m50,1.142062,2021,N,N
AUT,2014-2019,FALSE,INC,tot,1.153884,2017,N,N
AUT,2014-2019,FALSE,INC,premium,-.0193603,2021,N,N
AUT,2014-2019,FALSE,INC,b40,1.134513,2021,N,N
AUT,2015-2020,FALSE,INC,tot,1.282097,2021,N,N
AUT,2015-2020,FALSE,INC,tot,1.282088,2017,N,N
AUT,2015-2020,FALSE,INC,premium,.300221,2017,N,N
AUT,2015-2020,FALSE,INC,m50,1.455381,2017,N,N
AUT,2015-2020,FALSE,INC,premium,.3002518,2021,N,N
AUT,2015-2020,FALSE,INC,b40,1.582348,2021,N,N
AUT,2015-2020,FALSE,INC,m50,1.455381,2021,N,N
AUT,2015-2020,FALSE,INC,b40,1.582309,2017,N,N
AUT,2016-2021,FALSE,INC,m50,.4399772,2021,N,N
AUT,2016-2021,FALSE,INC,b40,.4094192,2017,N,N
AUT,2016-2021,FALSE,INC,m50,.4399784,2017,N,N
AUT,2016-2021,FALSE,INC,tot,.3514378,2021,N,N
AUT,2016-2021,FALSE,INC,tot,.3514315,2017,N,N
AUT,2016-2021,FALSE,INC,b40,.4094552,2021,N,N
AUT,2016-2021,FALSE,INC,premium,.0579877,2017,N,N
